Data,Tipo,Turno,Ora Inizio,Luogo Inizio,Ora Fine,Luogo Fine
2025-06-30,N/D,,,,,
2025-07-01,Lavoro,FGb503,05:42,FG,12:18,FG
2025-07-02,Lavoro,FGb503,05:42,FG,12:18,FG
2025-07-03,Lavoro,FGb505,06:00,FG,14:48,FG
2025-07-04,Lavoro,FGb502,05:22,FG,10:48,FG
2025-07-05,Riposo Weekend,,,,,
2025-07-06,Intervallo,,,,,
2025-07-07,Lavoro,FGb510,13:49,FG,20:53,FG
2025-07-08,Lavoro,FGb511,14:12,FG,22:18,FG
2025-07-09,Lavoro,FGb517,15:27,FG,22:57,FG
2025-07-10,Lavoro,FGb514 (RFR),15:27,FG,10:25+,FG
2025-07-11,N/D,,,,,
2025-07-12,Riposo Weekend,,,,,
2025-07-13,Intervallo,,,,,
2025-07-14,Lavoro,FGb517,15:27,FG,22:57,FG
2025-07-15,Lavoro,FGb509,13:12,FG,20:48,FG
2025-07-16,Lavoro,FGb518,08:12,FG,15:21,FG
2025-07-17,Lavoro,FGb503,05:42,FG,12:18,FG
2025-07-18,Riposo,,,,,
2025-07-19,Lavoro,FGb608,13:10,FG,22:15,FG
2025-07-20,Lavoro,FGb705,14:10,FG,19:14,FG
2025-07-21,Lavoro,FGb512 (RFR),14:21,FG,08:09+,FG
2025-07-22,N/D,,,,,
2025-07-23,Lavoro,FGb500,04:42,FG,10:15,FG
2025-07-24,Riposo,,,,,
2025-07-25,Lavoro,FGb517,15:27,FG,22:57,FG
2025-07-26,Lavoro,FGb604,13:49,FG,20:53,FG
2025-07-27,Lavoro,FGb708,12:44,FG,19:36,FG
2025-07-28,Lavoro,FGb512 (RFR),14:21,FG,08:09+,FG
2025-07-29,N/D,,,,,
2025-07-30,Riposo,,,,,
2025-07-31,Lavoro,FGb510,13:49,FG,20:53,FG
2025-08-01,Lavoro,FGb517,15:27,FG,22:57,FG
2025-08-02,Lavoro,FGb612,17:38,FG,00:09+,FG
2025-08-03,Lavoro,FGb709,18:10,FG,01:57+,FG
